,two-yes,two-no,ya-ns,ys-na,Total,fileId,iId
0_0,2,0,0,0,2,0,0
0_2,2,0,0,0,2,0,2
0_3,2,0,0,0,2,0,3
0_4,0,0,2,0,2,0,4
0_5,2,0,0,0,2,0,5
0_6,2,0,0,0,2,0,6
0_7,2,0,0,0,2,0,7
0_8,1,0,0,1,2,0,8
0_9,0,0,2,0,2,0,9
0_10,2,0,0,0,2,0,10
0_11,2,0,0,0,2,0,11
0_12,2,0,0,0,2,0,12
0_13,2,0,0,0,2,0,13
0_14,2,0,0,0,2,0,14
0_15,0,0,0,2,2,0,15
0_17,2,0,0,0,2,0,17
0_18,2,0,0,0,2,0,18
0_19,2,0,0,0,2,0,19
1_0,1,0,0,1,2,1,0
1_1,2,0,0,0,2,1,1
1_2,2,0,0,0,2,1,2
1_3,2,0,0,0,2,1,3
1_4,2,0,0,0,2,1,4
1_5,0,0,0,2,2,1,5
1_7,0,0,2,0,2,1,7
1_8,2,0,0,0,2,1,8
1_9,1,0,1,0,2,1,9
1_10,2,0,0,0,2,1,10
1_11,2,0,0,0,2,1,11
1_12,1,0,0,1,2,1,12
1_13,2,0,0,0,2,1,13
1_14,1,0,0,1,2,1,14
1_15,1,0,0,1,2,1,15
1_18,2,0,0,0,2,1,18
2_0,0,1,0,1,2,2,0
2_1,0,0,1,1,2,2,1
2_2,1,0,1,0,2,2,2
2_3,1,0,1,0,2,2,3
2_5,2,0,0,0,2,2,5
2_6,2,0,0,0,2,2,6
2_7,1,0,0,1,2,2,7
2_8,1,0,0,1,2,2,8
2_9,1,0,1,0,2,2,9
2_10,2,0,0,0,2,2,10
2_11,2,0,0,0,2,2,11
2_12,2,0,0,0,2,2,12
2_13,2,0,0,0,2,2,13
2_14,2,0,0,0,2,2,14
2_15,2,0,0,0,2,2,15
2_16,0,0,0,2,2,2,16
2_17,1,0,0,1,2,2,17
2_18,2,0,0,0,2,2,18
2_19,2,0,0,0,2,2,19
3_0,2,0,0,0,2,3,0
