,yes-sentiment,category,hotel_id,cpt,fileId,iId,gold,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label,TS_LEN
0_0,2,facility,260,0,0,0,True,The lobby bar always had a solo performer piano violin cello etc,2015-02-09,-0.4070737361907959,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_2,2,facility,260,0,0,2,True,We were then escorted to one of the lobby check in desks where we were given warm neck pillows to relax us even more,2015-04-21,-0.4058395028114319,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_3,2,facility,260,0,0,3,True,I went to the gym most mornings but I did the hydro EVERY morning,2015-04-30,-0.4908112287521362,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_5,2,facility,260,0,0,5,True,But Lorena sure did a good job and was so sweet when she was at Le Blanc Stage or in the Lobby Bar to make sure we were settled for drinks,2015-08-13,-0.10574498772621156,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_6,2,facility,260,0,0,6,True,Just waiting for the elevator never a long wait afforded framed views of the shoreline or the lagoon,2015-08-22,-0.4956362545490265,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_7,2,facility,260,0,0,7,True,And Elias at the Lobby Bar not only made our drinks perfectly he actually came out from behind the bar to hug me as we were leaving after making us our pina coladas to go for the ride to the airport,2016-04-12,-0.3210616111755371,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,6
0_10,2,facility,260,1,0,10,True,The gym was spacious and clean with several treadmills stationary bikes and elipticaly,2017-07-03,0.4981830716133118,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_11,2,facility,260,1,0,11,True,The resort itself is incredible and the amenities spa especially are just completely over the top,2018-01-04,0.4845783114433289,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_12,2,facility,260,1,0,12,True,They offered a nice selection of classes at the gym and we signed up for several of those during our week,2018-02-12,0.4881290793418884,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_13,2,facility,260,1,0,13,True,The staff accommodations food and spa were absolutely 5 stars,2018-05-30,0.4608194231987,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_14,2,facility,260,1,0,14,True,The facility is newly renovated and it is beautiful,2019-01-10,0.4911012053489685,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_17,2,facility,260,1,0,17,True,We were blown away with the state of the art facilities it had to offer,2019-12-27,0.450715959072113,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_18,2,facility,260,1,0,18,True,Excellent service facilities and staff,2020-01-02,0.4989339709281922,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
0_19,2,facility,260,1,0,19,True,The service the spa the gym and pools were incredible,2020-01-05,0.4985228180885315,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,,8
1_1,2,pool,260,0,1,1,True,A couple of times throughout the afternoon there was a waitress in the pool with a giant surfboard with drinks on it,2015-07-14,-0.4668511152267456,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,5
1_2,2,pool,260,0,1,2,True,There was also a young man pool attendant who was like the road runner servicing guests at the pool AND the beach,2015-07-28,0.0764506459236145,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,5
1_3,2,pool,260,0,1,3,True,These were just a few of the people who took care of us throughout our stay however the pool spa beach and reservation specialists all deserve kudos as well,2015-08-12,0.15457254648208618,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,5
1_4,2,pool,260,0,1,4,True,If Mother Nature throws rain or strong winds seek refuge in the lagoon side pool a calmer and sunny hideaway,2015-12-04,-0.4819419980049133,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,5
1_8,2,pool,260,0,1,8,True,You barely get to your pool chair and someone is there with towels and a bucket of ice and water for you,2017-06-11,-0.3895419538021088,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,5
1_10,2,pool,260,1,1,10,True,At Polside we were fortunate to have Lucinda Arlet and Sara take care of us making sure we were comfortable with towels drinks and food,2018-03-05,0.4996199607849121,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,,4
1_11,2,pool,260,1,1,11,True,Paella was cooked twice at the outdoor pool while we were there and every day we were offered special treats at the pool,2018-03-13,0.2624911069869995,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,,4
1_13,2,pool,260,1,1,13,True,5 for all day pool lay 5 breakfast 10 dinners 15 per butler 10 masseuse,2018-04-21,0.4610141515731812,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,,4
1_18,2,pool,260,1,1,18,True,Jeanete Michele Gustavo especially Lucinda at the pool,2019-06-04,0.3910743594169617,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,,4
3_0,2,restaurant,260,0,3,0,True,2The a la carte dining venues had food of inconsistent quality,2015-01-03,-0.4963819682598114,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,4
