,Edita,Andrei,Meli,Alina,Liviu,Oana,Silviu,Mada
406_0,1.0,3.0,,,,,,
406_1,3.0,3.0,,,,,,
406_2,3.0,3.0,,,,,,
406_3,3.0,3.0,,,,,,
406_4,3.0,3.0,,,,,,
406_5,3.0,3.0,,,,,,
406_6,1.0,3.0,,,,,,
406_7,3.0,3.0,,,,,,
406_8,1.0,1.0,,,,,,
406_9,3.0,3.0,,,,,,
406_10,1.0,1.0,,,,,,
406_11,3.0,3.0,,,,,,
406_12,3.0,3.0,,,,,,
406_13,3.0,3.0,,,,,,
406_14,3.0,3.0,,,,,,
406_15,3.0,3.0,,,,,,
406_16,3.0,3.0,,,,,,
406_17,3.0,3.0,,,,,,
406_18,3.0,3.0,,,,,,
406_19,3.0,3.0,,,,,,
180_0,3.0,,3.0,,,,,
180_1,3.0,,3.0,,,,,
180_2,3.0,,3.0,,,,,
180_3,3.0,,3.0,,,,,
180_4,3.0,,3.0,,,,,
180_5,3.0,,3.0,,,,,
180_6,3.0,,3.0,,,,,
180_7,3.0,,3.0,,,,,
180_8,3.0,,3.0,,,,,
180_9,3.0,,3.0,,,,,
180_10,3.0,,3.0,,,,,
180_11,3.0,,1.0,,,,,
180_12,3.0,,3.0,,,,,
180_13,3.0,,3.0,,,,,
180_14,3.0,,3.0,,,,,
180_15,3.0,,1.0,,,,,
180_16,3.0,,3.0,,,,,
180_17,3.0,,3.0,,,,,
180_18,1.0,,3.0,,,,,
180_19,3.0,,3.0,,,,,
252_0,3.0,,,3.0,,,,
252_1,3.0,,,3.0,,,,
252_2,3.0,,,3.0,,,,
252_3,3.0,,,3.0,,,,
252_4,3.0,,,3.0,,,,
252_5,3.0,,,3.0,,,,
252_6,3.0,,,3.0,,,,
252_7,3.0,,,3.0,,,,
252_8,3.0,,,3.0,,,,
252_9,3.0,,,3.0,,,,
253_0,3.0,,,1.0,,,,
253_1,3.0,,,3.0,,,,
253_2,1.0,,,1.0,,,,
253_3,3.0,,,3.0,,,,
253_4,1.0,,,1.0,,,,
253_5,3.0,,,3.0,,,,
253_6,3.0,,,3.0,,,,
253_7,3.0,,,3.0,,,,
253_8,1.0,,,1.0,,,,
253_9,3.0,,,1.0,,,,
253_10,3.0,,,3.0,,,,
253_11,3.0,,,3.0,,,,
253_13,3.0,,,3.0,,,,
253_14,3.0,,,3.0,,,,
253_15,3.0,,,3.0,,,,
253_16,3.0,,,3.0,,,,
253_17,3.0,,,3.0,,,,
253_19,3.0,,,1.0,,,,
168_1,3.0,,3.0,,,,,
168_2,3.0,,3.0,,,,,
168_3,1.0,,1.0,,,,,
168_5,3.0,,1.0,,,,,
168_6,3.0,,1.0,,,,,
168_7,3.0,,3.0,,,,,
168_8,1.0,,1.0,,,,,
168_9,3.0,,1.0,,,,,
168_10,3.0,,3.0,,,,,
168_11,3.0,,3.0,,,,,
168_12,3.0,,3.0,,,,,
168_13,3.0,,3.0,,,,,
168_14,3.0,,3.0,,,,,
168_15,3.0,,3.0,,,,,
168_16,1.0,,3.0,,,,,
168_17,3.0,,3.0,,,,,
168_18,3.0,,3.0,,,,,
168_19,3.0,,3.0,,,,,
254_0,3.0,,,3.0,,,,
254_1,3.0,,,3.0,,,,
254_2,3.0,,,3.0,,,,
