,yes-sentiment,category,hotel_id,cpt,fileId,iId,gold,sentiment,cpt_id,cpt_label,ts_len
0_0,2,facility,260,0,0,0,True,-0.4070737361907959,0_0,a,6
0_2,2,facility,260,0,0,2,True,-0.4058395028114319,0_0,a,6
0_3,2,facility,260,0,0,3,True,-0.4908112287521362,0_0,a,6
0_5,2,facility,260,0,0,5,True,-0.10574498772621156,0_0,a,6
0_6,2,facility,260,0,0,6,True,-0.4956362545490265,0_0,a,6
0_7,2,facility,260,0,0,7,True,-0.3210616111755371,0_0,a,6
0_10,2,facility,260,1,0,10,True,0.4981830716133118,0_1,,8
0_11,2,facility,260,1,0,11,True,0.4845783114433289,0_1,,8
0_12,2,facility,260,1,0,12,True,0.4881290793418884,0_1,,8
0_13,2,facility,260,1,0,13,True,0.4608194231987,0_1,,8
0_14,2,facility,260,1,0,14,True,0.4911012053489685,0_1,,8
0_17,2,facility,260,1,0,17,True,0.450715959072113,0_1,,8
0_18,2,facility,260,1,0,18,True,0.4989339709281922,0_1,,8
0_19,2,facility,260,1,0,19,True,0.4985228180885315,0_1,,8
1_1,2,pool,260,0,1,1,True,-0.4668511152267456,1_0,c,5
1_2,2,pool,260,0,1,2,True,0.0764506459236145,1_0,c,5
1_3,2,pool,260,0,1,3,True,0.15457254648208618,1_0,c,5
1_4,2,pool,260,0,1,4,True,-0.4819419980049133,1_0,c,5
1_8,2,pool,260,0,1,8,True,-0.3895419538021088,1_0,c,5
1_10,2,pool,260,1,1,10,True,0.4996199607849121,1_1,,4
1_11,2,pool,260,1,1,11,True,0.2624911069869995,1_1,,4
1_13,2,pool,260,1,1,13,True,0.4610141515731812,1_1,,4
1_18,2,pool,260,1,1,18,True,0.3910743594169617,1_1,,4
3_0,2,restaurant,260,0,3,0,True,-0.4963819682598114,3_0,a,4
3_3,2,restaurant,260,0,3,3,True,-0.4895097315311432,3_0,a,4
3_7,2,restaurant,260,0,3,7,True,-0.1756417155265808,3_0,a,4
3_9,2,restaurant,260,0,3,9,True,-0.2435554265975952,3_0,a,4
3_10,2,restaurant,260,1,3,10,True,0.1549891233444214,3_1,a,6
3_11,2,restaurant,260,1,3,11,True,0.15560120344161987,3_1,a,6
3_14,2,restaurant,260,1,3,14,True,0.14987123012542725,3_1,a,6
3_16,2,restaurant,260,1,3,16,True,0.1224832534790039,3_1,a,6
3_17,2,restaurant,260,1,3,17,True,0.15874522924423218,3_1,a,6
3_18,2,restaurant,260,1,3,18,True,0.11785972118377686,3_1,a,6
3_24,2,restaurant,260,2,3,24,True,0.19053560495376587,3_2,c,5
3_25,2,restaurant,260,2,3,25,True,0.1751192808151245,3_2,c,5
3_27,2,restaurant,260,2,3,27,True,0.23266786336898804,3_2,c,5
3_28,2,restaurant,260,2,3,28,True,0.2131771445274353,3_2,c,5
3_29,2,restaurant,260,2,3,29,True,0.21019774675369265,3_2,c,5
3_30,2,restaurant,260,3,3,30,True,0.18077987432479856,3_3,c,6
3_32,2,restaurant,260,3,3,32,True,0.19056010246276853,3_3,c,6
3_34,2,restaurant,260,3,3,34,True,0.206878662109375,3_3,c,6
3_35,2,restaurant,260,3,3,35,True,0.17528903484344482,3_3,c,6
3_38,2,restaurant,260,3,3,38,True,0.22837746143341064,3_3,c,6
3_39,2,restaurant,260,3,3,39,True,0.2308282852172852,3_3,c,6
3_40,2,restaurant,260,4,3,40,True,0.12933874130249026,3_4,c,3
3_42,2,restaurant,260,4,3,42,True,0.09187829494476316,3_4,c,3
3_43,2,restaurant,260,4,3,43,True,0.14358305931091309,3_4,c,3
4_1,2,room,260,0,4,1,True,-0.3182094693183899,4_0,c,3
4_6,2,room,260,0,4,6,True,0.00709986686706543,4_0,c,3
4_9,2,room,260,0,4,9,True,-0.4701921939849854,4_0,c,3
4_10,2,room,260,1,4,10,True,0.14920485019683838,4_1,c,5
4_11,2,room,260,1,4,11,True,0.0704423189163208,4_1,c,5
4_12,2,room,260,1,4,12,True,0.1497367024421692,4_1,c,5
4_15,2,room,260,1,4,15,True,0.15030473470687866,4_1,c,5
4_19,2,room,260,1,4,19,True,0.14120841026306152,4_1,c,5
5_0,2,facility,110,0,5,0,True,-0.4016974866390228,5_0,a,4
5_1,2,facility,110,0,5,1,True,-0.4946321249008178,5_0,a,4
5_6,2,facility,110,0,5,6,True,-0.4980983436107636,5_0,a,4
5_9,2,facility,110,0,5,9,True,-0.4983415603637695,5_0,a,4
5_10,2,facility,110,1,5,10,True,0.4981914162635803,5_1,,6
5_13,2,facility,110,1,5,13,True,0.496964156627655,5_1,,6
5_15,2,facility,110,1,5,15,True,0.4949817061424256,5_1,,6
5_16,2,facility,110,1,5,16,True,0.4998786449432373,5_1,,6
5_17,2,facility,110,1,5,17,True,0.4893434047698975,5_1,,6
5_18,2,facility,110,1,5,18,True,0.4995964169502258,5_1,,6
7_5,2,pool,110,0,7,5,True,-0.4948084950447082,7_0,a,4
7_6,2,pool,110,0,7,6,True,-0.4931766986846924,7_0,a,4
7_8,2,pool,110,0,7,8,True,-0.4990702271461487,7_0,a,4
7_9,2,pool,110,0,7,9,True,-0.4769870936870575,7_0,a,4
7_10,2,pool,110,1,7,10,True,0.4932112693786621,7_1,,9
7_11,2,pool,110,1,7,11,True,0.4989122152328491,7_1,,9
7_12,2,pool,110,1,7,12,True,0.4334207177162169,7_1,,9
7_13,2,pool,110,1,7,13,True,0.4944742321968079,7_1,,9
7_14,2,pool,110,1,7,14,True,0.4827233552932739,7_1,,9
7_15,2,pool,110,1,7,15,True,0.4981634020805359,7_1,,9
7_16,2,pool,110,1,7,16,True,0.4623297452926636,7_1,,9
7_18,2,pool,110,1,7,18,True,0.478999376296997,7_1,,9
7_19,2,pool,110,1,7,19,True,0.4995978474617005,7_1,,9
8_10,2,restaurant,110,1,8,10,True,0.2190253138542176,8_1,c,5
8_11,2,restaurant,110,1,8,11,True,0.22233718633651733,8_1,c,5
8_12,2,restaurant,110,1,8,12,True,0.21456056833267206,8_1,c,5
8_13,2,restaurant,110,1,8,13,True,0.22830402851104736,8_1,c,5
8_15,2,restaurant,110,1,8,15,True,0.2100328803062439,8_1,c,5
8_19,2,restaurant,110,2,8,19,True,0.06791269779205322,8_2,b,5
8_22,2,restaurant,110,2,8,22,True,0.1878601312637329,8_2,b,5
8_23,2,restaurant,110,2,8,23,True,0.02867412567138672,8_2,b,5
8_24,2,restaurant,110,2,8,24,True,0.21286481618881226,8_2,b,5
8_26,2,restaurant,110,2,8,26,True,0.0652691125869751,8_2,b,5
8_28,2,restaurant,110,3,8,28,True,-0.4961397349834442,8_3,,9
8_29,2,restaurant,110,3,8,29,True,-0.4307260513305664,8_3,,9
8_30,2,restaurant,110,3,8,30,True,-0.4963457882404328,8_3,,9
8_31,2,restaurant,110,3,8,31,True,-0.4878471791744232,8_3,,9
8_32,2,restaurant,110,3,8,32,True,-0.00908777117729187,8_3,,9
8_33,2,restaurant,110,3,8,33,True,-0.4901053309440613,8_3,,9
8_35,2,restaurant,110,3,8,35,True,-0.4956609904766083,8_3,,9
8_36,2,restaurant,110,3,8,36,True,-0.4867958426475525,8_3,,9
8_37,2,restaurant,110,3,8,37,True,-0.4920896291732788,8_3,,9
9_1,2,room,110,0,9,1,True,-0.4965271949768066,9_0,a,3
9_6,2,room,110,0,9,6,True,-0.4989373981952667,9_0,a,3
9_7,2,room,110,0,9,7,True,-0.4983741044998169,9_0,a,3
9_10,2,room,110,1,9,10,True,0.4998801946640015,9_1,,8
9_11,2,room,110,1,9,11,True,0.4997541308403015,9_1,,8
9_12,2,room,110,1,9,12,True,0.452268123626709,9_1,,8
9_14,2,room,110,1,9,14,True,0.4983671307563782,9_1,,8
9_15,2,room,110,1,9,15,True,0.4969653487205506,9_1,,8
9_16,2,room,110,1,9,16,True,0.4991506338119507,9_1,,8
9_17,2,room,110,1,9,17,True,0.4982832670211792,9_1,,8
9_19,2,room,110,1,9,19,True,0.4998669624328613,9_1,,8
10_3,2,reception,327,0,10,3,True,0.4971991777420044,10_0,c,4
10_4,2,reception,327,0,10,4,True,0.4990800619125366,10_0,c,4
10_6,2,reception,327,0,10,6,True,0.4996429681777954,10_0,c,4
10_8,2,reception,327,0,10,8,True,0.4987233281135559,10_0,c,4
11_0,2,pool,327,0,11,0,True,0.4810839295387268,11_0,b,8
11_1,2,pool,327,0,11,1,True,0.4983667731285095,11_0,b,8
11_2,2,pool,327,0,11,2,True,0.494136095046997,11_0,b,8
11_5,2,pool,327,0,11,5,True,0.4994707703590393,11_0,b,8
11_6,2,pool,327,0,11,6,True,0.4997562766075134,11_0,b,8
11_7,2,pool,327,0,11,7,True,0.4997888207435608,11_0,b,8
11_8,2,pool,327,0,11,8,True,0.4850881695747376,11_0,b,8
11_9,2,pool,327,0,11,9,True,0.4998669624328613,11_0,b,8
11_14,2,pool,327,1,11,14,True,-0.4954854846000672,11_1,,5
11_15,2,pool,327,1,11,15,True,-0.4995037019252777,11_1,,5
11_16,2,pool,327,1,11,16,True,-0.4787509739398956,11_1,,5
11_17,2,pool,327,1,11,17,True,-0.4946216344833374,11_1,,5
11_18,2,pool,327,1,11,18,True,-0.4825038015842438,11_1,,5
13_0,2,restaurant,327,0,13,0,True,0.4643011689186096,13_0,b,6
13_1,2,restaurant,327,0,13,1,True,0.4979267120361328,13_0,b,6
13_2,2,restaurant,327,0,13,2,True,0.4947984218597412,13_0,b,6
13_4,2,restaurant,327,0,13,4,True,0.4994533658027649,13_0,b,6
13_7,2,restaurant,327,0,13,7,True,0.4976894855499268,13_0,b,6
13_8,2,restaurant,327,0,13,8,True,0.4994688630104065,13_0,b,6
13_12,2,restaurant,327,1,13,12,True,-0.4760097563266754,13_1,,8
13_13,2,restaurant,327,1,13,13,True,-0.1624496579170227,13_1,,8
13_14,2,restaurant,327,1,13,14,True,-0.4005251526832581,13_1,,8
13_15,2,restaurant,327,1,13,15,True,-0.4920111894607544,13_1,,8
13_16,2,restaurant,327,1,13,16,True,-0.4985284805297852,13_1,,8
13_17,2,restaurant,327,1,13,17,True,-0.05257245898246765,13_1,,8
13_18,2,restaurant,327,1,13,18,True,-0.033668458461761475,13_1,,8
13_19,2,restaurant,327,1,13,19,True,-0.4921781420707703,13_1,,8
14_0,2,room,327,0,14,0,True,0.4948587417602539,14_0,b,9
14_2,2,room,327,0,14,2,True,0.415083110332489,14_0,b,9
14_3,2,room,327,0,14,3,True,0.4936668276786804,14_0,b,9
14_4,2,room,327,0,14,4,True,0.4868152737617493,14_0,b,9
14_5,2,room,327,0,14,5,True,0.4946082830429077,14_0,b,9
14_6,2,room,327,0,14,6,True,0.4978366494178772,14_0,b,9
14_7,2,room,327,0,14,7,True,0.4996814727783203,14_0,b,9
14_8,2,room,327,0,14,8,True,0.4985136389732361,14_0,b,9
14_9,2,room,327,0,14,9,True,0.49647456407547,14_0,b,9
14_13,2,room,327,1,14,13,True,0.09713196754455566,14_1,a,3
14_14,2,room,327,1,14,14,True,0.1158461570739746,14_1,a,3
14_16,2,room,327,1,14,16,True,0.13056516647338867,14_1,a,3
14_20,2,room,327,2,14,20,True,0.3737677335739136,14_2,,5
14_21,2,room,327,2,14,21,True,0.44935142993927,14_2,,5
14_22,2,room,327,2,14,22,True,0.4675869345664978,14_2,,5
14_23,2,room,327,2,14,23,True,0.4593236446380615,14_2,,5
14_24,2,room,327,2,14,24,True,0.40849149227142334,14_2,,5
15_1,2,facility,401,0,15,1,True,-0.4927380084991455,15_0,a,3
15_3,2,facility,401,0,15,3,True,-0.4985165297985077,15_0,a,3
15_5,2,facility,401,0,15,5,True,-0.4704868495464325,15_0,a,3
15_13,2,facility,401,1,15,13,True,0.4970284104347229,15_1,,6
15_14,2,facility,401,1,15,14,True,0.4971179962158203,15_1,,6
15_15,2,facility,401,1,15,15,True,0.4979798197746277,15_1,,6
15_16,2,facility,401,1,15,16,True,0.4960898160934448,15_1,,6
15_18,2,facility,401,1,15,18,True,0.4903213381767273,15_1,,6
15_19,2,facility,401,1,15,19,True,0.4935935139656067,15_1,,6
16_1,2,reception,401,0,16,1,True,-0.4369719624519348,16_0,a,6
16_2,2,reception,401,0,16,2,True,-0.4611727297306061,16_0,a,6
16_3,2,reception,401,0,16,3,True,-0.14271941781044006,16_0,a,6
