,Edita,Alina,Andrei,Liviu,Oana,Silviu,Mada,Meli,least2,gold
252_0,3.0,3.0,,,,,,,True,1
252_1,3.0,3.0,,,,,,,True,1
252_2,3.0,3.0,,,,,,,True,1
252_3,3.0,3.0,,,,,,,True,1
252_4,3.0,3.0,,,,,,,True,1
252_5,3.0,3.0,,,,,,,True,1
252_6,3.0,3.0,,,,,,,True,1
252_7,3.0,3.0,,,,,,,True,1
252_8,3.0,3.0,,,,,,,True,1
252_9,3.0,3.0,,,,,,,True,1
253_0,3.0,1.0,,,,,,,True,1
253_1,3.0,3.0,,,,,,,True,1
253_2,1.0,1.0,,,,,,,True,1
253_3,3.0,3.0,,,,,,,True,1
253_4,1.0,1.0,,,,,,,True,1
253_5,3.0,3.0,,,,,,,True,1
253_6,3.0,3.0,,,,,,,True,1
253_7,3.0,3.0,,,,,,,True,1
253_8,1.0,1.0,,,,,,,True,1
253_9,3.0,1.0,,,,,,,True,1
253_10,3.0,3.0,,,,,,,True,1
253_11,3.0,3.0,,,,,,,True,1
253_13,3.0,3.0,,,,,,,True,1
253_14,3.0,3.0,,,,,,,True,1
253_15,3.0,3.0,,,,,,,True,1
253_16,3.0,3.0,,,,,,,True,1
253_17,3.0,3.0,,,,,,,True,1
253_19,3.0,1.0,,,,,,,True,1
168_1,3.0,,,,,,,3.0,True,1
168_2,3.0,,,,,,,3.0,True,1
168_3,1.0,,,,,,,1.0,True,1
168_5,3.0,,,,,,,1.0,True,1
168_6,3.0,,,,,,,1.0,True,1
168_7,3.0,,,,,,,3.0,True,1
168_8,1.0,,,,,,,1.0,True,1
168_9,3.0,,,,,,,1.0,True,1
168_10,3.0,,,,,,,3.0,True,1
168_11,3.0,,,,,,,3.0,True,1
168_12,3.0,,,,,,,3.0,True,1
168_13,3.0,,,,,,,3.0,True,1
168_14,3.0,,,,,,,3.0,True,1
168_15,3.0,,,,,,,3.0,True,1
168_16,1.0,,,,,,,3.0,True,1
168_17,3.0,,,,,,,3.0,True,1
168_18,3.0,,,,,,,3.0,True,1
168_19,3.0,,,,,,,3.0,True,1
254_0,3.0,3.0,,,,,,,True,1
254_1,3.0,3.0,,,,,,,True,1
254_2,3.0,3.0,,,,,,,True,1
254_3,3.0,3.0,,,,,,,True,1
254_4,3.0,3.0,,,,,,,True,1
254_5,1.0,3.0,,,,,,,True,1
254_6,3.0,3.0,,,,,,,True,1
254_7,3.0,3.0,,,,,,,True,1
254_8,3.0,3.0,,,,,,,True,1
254_9,3.0,3.0,,,,,,,True,1
254_10,3.0,1.0,,,,,,,True,1
254_11,1.0,3.0,,,,,,,True,1
254_12,3.0,1.0,,,,,,,True,1
254_13,3.0,3.0,,,,,,,True,1
254_14,3.0,3.0,,,,,,,True,1
254_15,3.0,3.0,,,,,,,True,1
254_16,3.0,3.0,,,,,,,True,1
254_17,1.0,1.0,,,,,,,True,1
254_18,3.0,1.0,,,,,,,True,1
254_19,3.0,3.0,,,,,,,True,1
254_20,3.0,3.0,,,,,,,True,1
254_21,3.0,3.0,,,,,,,True,1
254_22,3.0,3.0,,,,,,,True,1
254_23,3.0,3.0,,,,,,,True,1
254_24,3.0,3.0,,,,,,,True,1
169_0,3.0,,,,,,,1.0,True,1
169_1,3.0,,,,,,,3.0,True,1
169_2,3.0,,,,,,,3.0,True,1
169_3,3.0,,,,,,,3.0,True,1
169_4,1.0,,,,,,,1.0,True,1
169_5,1.0,,,,,,,1.0,True,1
169_6,1.0,,,,,,,1.0,True,1
169_7,1.0,,,,,,,1.0,True,1
169_8,3.0,,,,,,,3.0,True,1
169_9,1.0,,,,,,,3.0,True,1
169_10,3.0,,,,,,,3.0,True,1
169_11,3.0,,,,,,,3.0,True,1
169_12,3.0,,,,,,,3.0,True,1
169_13,3.0,,,,,,,3.0,True,1
169_14,3.0,,,,,,,3.0,True,1
169_15,3.0,,,,,,,3.0,True,1
169_16,3.0,,,,,,,3.0,True,1
169_17,3.0,,,,,,,3.0,True,1
169_18,3.0,,,,,,,3.0,True,1
169_19,3.0,,,,,,,3.0,True,1
255_0,1.0,3.0,,,,,,,True,1
255_1,1.0,3.0,,,,,,,True,1
255_2,1.0,3.0,,,,,,,True,1
255_3,1.0,3.0,,,,,,,True,1
255_4,3.0,3.0,,,,,,,True,1
255_5,3.0,3.0,,,,,,,True,1
255_6,1.0,1.0,,,,,,,True,1
255_7,3.0,1.0,,,,,,,True,1
255_8,3.0,3.0,,,,,,,True,1
255_9,3.0,3.0,,,,,,,True,1
255_10,3.0,3.0,,,,,,,True,1
255_11,3.0,3.0,,,,,,,True,1
255_12,3.0,3.0,,,,,,,True,1
255_13,3.0,3.0,,,,,,,True,1
255_14,1.0,3.0,,,,,,,True,1
255_15,3.0,3.0,,,,,,,True,1
255_16,3.0,3.0,,,,,,,True,1
256_0,3.0,3.0,,,,,,,True,1
256_1,3.0,3.0,,,,,,,True,1
256_2,3.0,3.0,,,,,,,True,1
256_3,1.0,3.0,,,,,,,True,1
256_4,3.0,3.0,,,,,,,True,1
256_5,3.0,3.0,,,,,,,True,1
256_6,1.0,3.0,,,,,,,True,1
