,yes-sentiment,yes-aspect,no-sentiment,no-aspect,category,hotel_id,cpt,Total,fileId,iId,gold-aspect,gold-sentiment,text,date,sentiment,cpts,sentiment_mean,date_period,cpt_id,cpt_label,TS_LEN,argmin_max
0_0,2,2,0,0,facility,260,0,4,0,0,True,True,The lobby bar always had a solo performer piano violin cello etc,2015-02-09,-0.4070737361907959,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_2,2,2,0,0,facility,260,0,4,0,2,True,True,We were then escorted to one of the lobby check in desks where we were given warm neck pillows to relax us even more,2015-04-21,-0.4058395028114319,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_3,2,2,0,0,facility,260,0,4,0,3,True,True,I went to the gym most mornings but I did the hydro EVERY morning,2015-04-30,-0.4908112287521362,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_4,0,2,2,0,facility,260,0,4,0,4,True,False,I suggest a room away from the elevators for this reason,2015-07-14,-0.4397155940532684,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_5,2,2,0,0,facility,260,0,4,0,5,True,True,But Lorena sure did a good job and was so sweet when she was at Le Blanc Stage or in the Lobby Bar to make sure we were settled for drinks,2015-08-13,-0.10574498772621156,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_6,2,2,0,0,facility,260,0,4,0,6,True,True,Just waiting for the elevator never a long wait afforded framed views of the shoreline or the lagoon,2015-08-22,-0.4956362545490265,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,True
0_7,2,2,0,0,facility,260,0,4,0,7,True,True,And Elias at the Lobby Bar not only made our drinks perfectly he actually came out from behind the bar to hug me as we were leaving after making us our pina coladas to go for the ride to the airport,2016-04-12,-0.3210616111755371,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_9,0,2,2,0,facility,260,0,4,0,9,True,False,We had a lot better service and amenities at The Secrets Vine Aqua Live and Excellence,2017-03-19,-0.3980551064014435,"[0, 485, 912]",0.18068505920990363,"['2015-01-01', '2017-06-25']",0_0,a,8,
0_10,2,2,0,0,facility,260,1,4,0,10,True,True,The gym was spacious and clean with several treadmills stationary bikes and elipticaly,2017-07-03,0.4981830716133118,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_11,2,2,0,0,facility,260,1,4,0,11,True,True,The resort itself is incredible and the amenities spa especially are just completely over the top,2018-01-04,0.4845783114433289,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_12,2,2,0,0,facility,260,1,4,0,12,True,True,They offered a nice selection of classes at the gym and we signed up for several of those during our week,2018-02-12,0.4881290793418884,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_13,2,2,0,0,facility,260,1,4,0,13,True,True,The staff accommodations food and spa were absolutely 5 stars,2018-05-30,0.4608194231987,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_14,2,2,0,0,facility,260,1,4,0,14,True,True,The facility is newly renovated and it is beautiful,2019-01-10,0.4911012053489685,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_17,2,2,0,0,facility,260,1,4,0,17,True,True,We were blown away with the state of the art facilities it had to offer,2019-12-27,0.450715959072113,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
0_18,2,2,0,0,facility,260,1,4,0,18,True,True,Excellent service facilities and staff,2020-01-02,0.4989339709281922,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,True
0_19,2,2,0,0,facility,260,1,4,0,19,True,True,The service the spa the gym and pools were incredible,2020-01-05,0.4985228180885315,"[0, 485, 912]",0.2742823594336024,"['2017-06-28', '2020-04-04']",0_1,d,8,
1_1,2,2,0,0,pool,260,0,4,1,1,True,True,A couple of times throughout the afternoon there was a waitress in the pool with a giant surfboard with drinks on it,2015-07-14,-0.4668511152267456,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_2,2,2,0,0,pool,260,0,4,1,2,True,True,There was also a young man pool attendant who was like the road runner servicing guests at the pool AND the beach,2015-07-28,0.0764506459236145,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_3,2,2,0,0,pool,260,0,4,1,3,True,True,These were just a few of the people who took care of us throughout our stay however the pool spa beach and reservation specialists all deserve kudos as well,2015-08-12,0.15457254648208618,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_4,2,2,0,0,pool,260,0,4,1,4,True,True,If Mother Nature throws rain or strong winds seek refuge in the lagoon side pool a calmer and sunny hideaway,2015-12-04,-0.4819419980049133,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_7,0,2,2,0,pool,260,0,4,1,7,True,False,Might not sound like a big deal but as beer drinkers that are spending most of the 85 degree sunny days at the pool it is a big disappointment,2017-04-02,-0.4976966381072998,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,True
1_8,2,2,0,0,pool,260,0,4,1,8,True,True,You barely get to your pool chair and someone is there with towels and a bucket of ice and water for you,2017-06-11,-0.3895419538021088,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_9,1,2,1,0,pool,260,0,4,1,9,True,False,It is not a good spot for party animals but ideal for adults who are looking for serious chill time with drinks in the pool or at the beach,2017-12-18,-0.4753249287605286,"[0, 800, 1201]",0.190139871587714,"['2015-01-01', '2018-02-26']",1_0,c,7,
1_10,2,2,0,0,pool,260,1,4,1,10,True,True,At Polside we were fortunate to have Lucinda Arlet and Sara take care of us making sure we were comfortable with towels drinks and food,2018-03-05,0.4996199607849121,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,True
1_11,2,2,0,0,pool,260,1,4,1,11,True,True,Paella was cooked twice at the outdoor pool while we were there and every day we were offered special treats at the pool,2018-03-13,0.2624911069869995,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
1_13,2,2,0,0,pool,260,1,4,1,13,True,True,5 for all day pool lay 5 breakfast 10 dinners 15 per butler 10 masseuse,2018-04-21,0.4610141515731812,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
1_18,2,2,0,0,pool,260,1,4,1,18,True,True,Jeanete Michele Gustavo especially Lucinda at the pool,2019-06-04,0.3910743594169617,"[0, 800, 1201]",0.259760276206459,"['2018-02-28', '2020-04-04']",1_1,d,4,
2_2,1,2,1,0,renovation_room,260,0,4,2,2,True,False,On the negative side the hotel needs some refresh and the rooms are not soundproof,2016-02-06,-0.494864821434021,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_3,1,2,1,0,renovation_room,260,0,4,2,3,True,False,Also the rooms can use an update and the restaurants except for the Asian were not very impressive in decor,2017-07-31,-0.4937250912189484,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_5,2,2,0,0,renovation_room,260,0,4,2,5,True,True,The room 821 was nice but a refresh would be in order which I understand will take place in the next few months,2017-12-22,-0.2224436104297638,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_6,2,2,0,0,renovation_room,260,0,4,2,6,True,True,While the rooms have been updated the property is showing its age and will be closed for a few months this year for an overhaul can not wait to go back next year,2018-03-13,-0.4913840889930725,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,
2_9,1,2,1,0,renovation_room,260,0,4,2,9,True,False,One suggestions to the LeBlanc for their upcoming remodel is to put some kind of sliders or felt pads on the bottom of the chairs in the rooms because if you are sleeping and someone above you orders room service you are going to hear those chairs sliding back and forth on the floor,2018-05-08,-0.4973317086696625,"[0, 45, 86]",-0.18161986105971867,"['2015-01-03', '2018-07-17']",2_0,a,5,True
2_10,2,2,0,0,renovation_room,260,1,4,2,10,True,True,The newly renovated room smelled clean and fresh like a spa,2019-01-11,0.4976664781570434,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_11,2,2,0,0,renovation_room,260,1,4,2,11,True,True,The rooms are just as gorgeous as ever and the remodel has added the latest in 21st century amenities usb outlets large tv apple tv etc,2019-01-19,0.4994387030601502,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,True
2_12,2,2,0,0,renovation_room,260,1,4,2,12,True,True,I am not a trip advisor user but I decided to write my experience in le blanc Cancun because it really is a paradise to visit the hotel facilities are recently remodeled the rooms are very nice and the service of the staff is out of reality really everyone tries every day to go more of his work Edgar in Lumier lucinda in the pool Alexandra in the concierge area our butlers Francesco and Adriana always attentive to our needs especially recognition to Adriana who every night surprised us with a different detail in our room she prepared our jacuzi every night she always attended us with a genuine smile and really made our stay unique I recommend the restaurant Lumier and Bela the food is delicious,2019-01-24,0.4983749389648438,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_13,2,2,0,0,renovation_room,260,1,4,2,13,True,True,in the rooms gorgeous lobby makeover although all those industrial urban couches and chairs need bolster pillows please and additional food boutiques for crepes and ice cream fun,2019-02-02,0.4942014813423157,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_14,2,2,0,0,renovation_room,260,1,4,2,14,True,True,After the recent remodel the rooms are amazing,2019-02-19,0.4970295429229736,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_15,2,2,0,0,renovation_room,260,1,4,2,15,True,True,Roger showed us to our newly remodeled chic guest room,2019-05-05,0.3755596876144409,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_18,2,2,0,0,renovation_room,260,1,4,2,18,True,True,The rooms are so amazing and clean and updated,2019-12-27,0.4954560995101929,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
2_19,2,2,0,0,renovation_room,260,1,4,2,19,True,True,The place is pristine they must repaint every room after each stay,2020-02-02,0.489870011806488,"[0, 45, 86]",0.2883923929638979,"['2018-09-07', '2020-03-17']",2_1,d,8,
3_0,2,2,0,0,restaurant,260,0,4,3,0,True,True,2The a la carte dining venues had food of inconsistent quality,2015-01-03,-0.4963819682598114,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,True
3_1,1,2,1,0,restaurant,260,0,4,3,1,True,False,The food variety because you can request a special dish is endless,2015-01-07,-0.25686824321746826,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_2,1,2,1,0,restaurant,260,0,4,3,2,True,False,the buffet is nothing short of sensational,2015-01-11,-0.4872573912143707,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_3,2,2,0,0,restaurant,260,0,4,3,3,True,True,The International restaurant was okay we had a couple steaks that were underseasoned but a little salt fixed that problem,2015-01-21,-0.4895097315311432,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_6,1,2,1,0,restaurant,260,0,4,3,6,True,False,No bananas no oatmeal their oatmeal looked more like warm milk with a few random oats floating around and they had a salad plates of yoghurts sitting on ice,2015-02-09,-0.4607541561126709,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_7,2,2,0,0,restaurant,260,0,4,3,7,True,True,Breakfast buffet was standard comparable to Excellence,2015-03-05,-0.1756417155265808,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_8,1,2,1,0,restaurant,260,0,4,3,8,True,False,We had a sour experience on the beach at LB on our first day the waitress was not at all friendly felt like we were bothering her almost and our snacks lunch took an hour to arrive,2015-03-05,-0.4926958382129669,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_9,2,2,0,0,restaurant,260,0,4,3,9,True,True,due to the ravings about the restaurant i was expecting amazing food,2015-03-10,-0.2435554265975952,"[0, 75, 885, 990, 1085, 1105, 1373]",0.10967096730867254,"['2015-01-01', '2015-04-03']",3_0,a,8,
3_10,2,2,0,0,restaurant,260,1,4,3,10,True,True,Every night we came back for dinner to get a nice soak before bed,2015-06-02,0.1549891233444214,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_11,2,2,0,0,restaurant,260,1,4,3,11,True,True,The manager Antonio provided us with changes to the menu that catered to my finicky tastes,2015-06-28,0.15560120344161987,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_14,2,2,0,0,restaurant,260,1,4,3,14,True,True,We did the chefs dinner where you see the chefs cook and then eat the food accompanied with champagne and wines,2016-05-29,0.14987123012542725,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_15,1,2,1,0,restaurant,260,1,4,3,15,True,False,do not get me wrong there are some good dishes there and the sushi is pretty good,2016-06-15,0.14091193675994873,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_16,2,2,0,0,restaurant,260,1,4,3,16,True,True,On one night which was Thursdays they had a outside buffet set up they were grilling meats seafood had a salad bar sushi set up and many other choices,2016-12-03,0.1224832534790039,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_17,2,2,0,0,restaurant,260,1,4,3,17,True,True,She knew what I liked after cooking me one meal,2017-04-30,0.15874522924423218,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,
3_18,2,2,0,0,restaurant,260,1,4,3,18,True,True,Asia restaurant Roger and his assistant Gery,2017-05-30,0.11785972118377686,"[0, 75, 885, 990, 1085, 1105, 1373]",0.1609637163834501,"['2015-04-04', '2018-01-21']",3_1,a,7,True
3_24,2,2,0,0,restaurant,260,2,4,3,24,True,True,We did really enjoy sushi at the Asian and the appetizers at the French restaurants but loved everything else too,2018-03-06,0.19053560495376587,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_25,2,2,0,0,restaurant,260,2,4,3,25,True,True,The bars were all well stocked with premium liquor,2018-03-20,0.1751192808151245,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5,True
3_27,2,2,0,0,restaurant,260,2,4,3,27,True,True,I love Thai food so I was happy to find out that they have Tom Kha Gai soup on their menu a Thai style soup with coconut milk a must try,2018-04-23,0.23266786336898804,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_28,2,2,0,0,restaurant,260,2,4,3,28,True,True,I know they had more guests coming but when I go to the fancy restaurant I like to spend my time to enjoy all meals and relax,2018-05-24,0.2131771445274353,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5,
3_29,2,2,0,0,restaurant,260,2,4,3,29,True,True,The restaurants at night are all good,2018-05-30,0.21019774675369265,"[0, 75, 885, 990, 1085, 1105, 1373]",0.24622376246477196,"['2018-01-22', '2018-06-01']",3_2,c,5,
